Litterakoodi;Litteraselite;Koodi;Selite;Määrä;Yksikkö;Työ €/h;Työ €/yks.;Työ €;Aine €/yks.;Aine €;Alih €/yks.;Alih €;Vmiehet €/yks.;Vmiehet €;Muu €;Summa
5530;Julkisivun pellitykset ja metalliverhoukset;55303021;Ikkunan vesipellit;0,82;jm;38,000;3,80;3,12;2,74;2,25;21,77;;;NaN;0,00;23,22
2080;Perustusten vedeneristys;20801031;Kumibitumikermi MP seinään;130,00;m2;0,000;0,00;0,00;0,00;0,00;;2 210,00;0,00;0,00;0,00;
2500;VSS-rakenteet;25001404;VSS-VP muottityö+purku+puhdistus;66,60;m2;NaN;;;15,29;1 018,37;0,00;NaN;0,00;0,00;874,28;
1800;Ulkovarusteet;1800102;JÄTEHUOLTOVARUSTEET;0,00;erä;0,000;;3.26;;NaN;;0,00;;0,00;0,00;-567
5800;Maalaus- ja tasoitetyöt;58005710;Paneelien käsittely, Saunasuoja;0,00;m2;0,000;0,00;0,00;;0,00;0,00;0,00;;;0,00;353843322.23
2830;Sisäänkäyntitasot ja -katokset;28304015;Vesikate VE20...40, kumibitumikermein;16,01;m2;0,000;0,00;0,00;;0,00;29,40;470,64;0,00;NaN;NaN;1 179,64
3120;Ontelo-, Massiivi- ja tulppalaatat;31203902;Painelaatikon muotitus vanerilla;3,96;m2;0,000;0,00;0,00;NaN;NaN;0,00;0,00;0,00;0,00;0,00;107,47
4330;Metalliovet, -ikkunat ja lasiseinät;4330151;MLS-Alumiinilasiseinä 8,2m x 13,8m;0,00;erä;0,000;;0,00;NaN;0,00;2.192e+03;0,00;0,00;NaN;0,00;544548103.36
3550;Ulkoseinät elementteinä, puu;35502075;Ikkunoiden asennus tehtaalla elementteihin;139,00;kpl;0,000;0,00;0,00;0,00;0,00;56,00;7 784,00;0,00;NaN;;10 325,03
2250;Sokkelielementit / sokkelikuorielementit;22501473;AV/AK- Elementtien pystysaumasbetonit;4,00;kpl;0,000;;;7,40;29,60;0,00;0,00;0,00;0,00;0,00;
2200;Anturat ja perusmuurit;2200499;PERUSTUKSET ALIURAKKANA, PERUSTUSPALVELU;0,00;erä;0,000;2.369e+03;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6200;Varusteet;62002022;LMJKH-varusteet;1,00;erä;0,000;0,00;;500,00;500,00;0,00;0,00;0,00;0,00;0,00;
1500;Salaojat, putkijohdot, kaivot ja viemäri;1500101;Ulkopuolinen LVVS pumppaamoineen yms. Urakka-alue Kaarna;1,00;erä;0,000;NaN;699.03;2056.43;45 200,00;0,00;0,00;0,00;0,00;0,00;45 200,00
5530;Julkisivun pellitykset ja metalliverhoukset;55303015;Metalliulko-oven vesipelti, riisipelti;5,00;jm;0,000;0,00;0,00;0,00;;39,90;NaN;NaN;0,00;0,00;199,50
3350;Betonipintojen etupaikkaus;3350501;PV-MP-Betonipintojen paikkaus;941,05;m2;38,000;3,80;3 576,01;0,50;470,53;0,00;0,00;0,00;0,00;0,00;
7300;SÄHKÖ;7300101;SÄHKÖ-URAKKA;43,00;as;0,000;0,00;3476,67;0,00;-3483.29;4 976,74;214 000,00;0,00;0,00;0,00;341 922,82
3550;Ulkoseinät elementteinä, puu;3550202;Puu-ulkoseinäelementtien alajuoksut + haitat;103,63;jm;;0,00;0,00;0,00;0,00;NaN;0,00;0,00;0,00;0,00;0,00
5600;Pintabetonilattiat;56001030;PB-laatan hierto;72,50;m2;0,000;0,00;0,00;;NaN;6,56;475,78;0,00;NaN;0,00;475,78
3700;Ullakko- ja kattorakenteet;37007013;Kattopintojen Raakaponttilaudoitus / OSB-levytys;566,00;m2;0,000;0,00;0,00;3.223e+03;5 886,40;0,00;0,00;-3159.34;0,00;0,00;937791296.33
4300;Puuovet;43003050;Kostean tilan väliovet, ASENNUS;50,00;kpl;0,000;NaN;6.012e+02;2,00;100,00;;2 202,00;0,00;0,00;0,00;
3700;Ullakko- ja kattorakenteet;37007311;Kattoluukun reiän teko ja tukilankut;2,00;kpl;38,000;1669.22;;4,48;8,96;0,00;0,00;0,00;NaN;0,00;84,96
4330;Metalliovet, -ikkunat ja lasiseinät;4330305;SPI-Savunpoistoikkunat;0,00;erä;;0,00;0,00;0,00;0,00;0,00;0,00;;;1 586,82;0,00
4700;Kaiteet ja parvekelasitukset;47002041;Asuntopihojen Lasiset terassiovet 8x24 asennettuna;3,00;kpl;0,000;0,00;0,00;;;600,00;1 800,00;0,00;;0,00;570455278.30
4520;Kipsialakatot;45202016;Alaslaskettu kipsikatto, Tavanomainen ALIURAKKANA;403,15;m2;0,000;NaN;0,00;0,00;0,00;24,00;;0,00;0,00;0,00;9 675,50
1800;Ulkovarusteet;18001010;Ulkopuoliset penkit ja pöydät;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;
3020;Rungon teräsosat;30204283;Deltapalkkien betonointi;0,00;m3;0,000;0,00;0,00;0,00;;0,00;0,00;0,00;;NaN;-148.60
2830;Sisäänkäyntitasot ja -katokset;2830361;Sisäänkäynnin Teräspilarit UPE160, H=2600;4,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;NaN;3 524,75;415,68;0,00;0,00
2200;Anturat ja perusmuurit;22001978;Nauha-anturan muotitus LAUTATAVARALLA;0,00;jm;0,000;0,00;0,00;NaN;0,00;0,00;;0,00;NaN;0,00;0,00
3700;Ullakko- ja kattorakenteet;37007019;Kattopollarien ja Vilpehattujen tukirakenteet;8,00;kpl;0,000;;;46,00;368,00;NaN;0,00;0,00;;;368,00
2200;Anturat ja perusmuurit;2200104;PS: Nauha-antura ( 650 x 1700 );22,40;jm;0,000;0,00;0,00;NaN;0,00;-2090,23;0,00;NaN;0,00;NaN;861584090.23
4520;Kipsialakatot;45202502;Alaslaskun kipsilevytys, 13mm kipsilevy;46,38;m2;0,000;0,00;0,00;NaN;NaN;;;;NaN;0,00;180,48
2080;Perustusten vedeneristys;20801032;MP seinän pystyeriste EPS 120 PRO ROUTA, kuorielementin takana 100mm;133,06;m2;38,000;;844,38;7,13;948,79;0,00;0,00;NaN;NaN;0,00;1 793,18
1200;Maankaivu;12005051;Sisätäyttö massoineen, tiivistetyt kuutiot;1 356,51;m3;NaN;;;9,52;12 914,01;5,80;7 867,78;;0,00;0,00;20 781,80
3140;Hissikuiluelementit(seinä ja kuppilaat.);3140410;Hissikuilun ylälaatta;1,00;erä;;0,00;0,00;1 100,00;NaN;0,00;0,00;;NaN;0,00;-1 100,00
5710;Saunat;57101011;Saunan SPU:t + Koolaukset ALIURAKKANA;0,00;m2;0,000;0,00;;0,00;;;NaN;0,00;;0,00;0,00
2080;Perustusten vedeneristys;2080103;MP-seinien ulkopuoliset pystyeristykset + VER;66,53;jm;1.734e+03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-602
6110;Huoneistojen kalusteet;6100101;Asuinhuoneiden KEITTIÖ- JA KIINTO kalusteet;0,00;erä;0,000;0,00;0,00;;0,00;0,00;0,00;2906.21;;0,00;0,00
2250;Sokkelielementit / sokkelikuorielementit;22501673;Reunavalukiinnityksen betonointi;2,68;m3;;14,44;38,63;129,80;347,24;0,00;NaN;0,00;0,00;NaN;970.92
1200;Maankaivu;12006014;Liikennealueen Jakava kerros, tiivistetyt kuutiot;0,00;m3;;0,00;0,00;0,00;0,00;0,00;0,00;NaN;0,00;0,00;991380174.69
3120;Ontelo-, Massiivi- ja tulppalaatat;3120201;PS: L-Massiivilaatta elementit TB240, PRSH 201 brm2, 193,53 nm2, 22 kpl;218,62;m2;NaN;0,00;0,00;0,00;NaN;;0,00;;;NaN;906599066.53
5570;Elastiset saumaukset;55705540;Liikuntasaumojen elastiset saumamassaukset;0,00;jm;0,000;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;0,00
8180;Telineet ja julkisivunostimet;81801804;Julkisivutelineiden avaus ja umpeen laitto;0,00;erä;0,000;-1.173e+01;0,00;0,00;0,00;0,00;-722.35;0,00;0,00;0,00;-803.73
5800;Maalaus- ja tasoitetyöt;58002830;Ulkoverhouksen maalaus SISÄÄNKÄYNTI;0,00;m2;0,000;0,00;0,00;0,00;NaN;0,00;0,00;0,00;0,00;0,00;0,00
1800;Ulkovarusteet;18001014;Pihan Roska-astiat;0,00;erä;0,000;0,00;NaN;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0320;RAK-suunnittelu;0320;RAK-Suunnittelu;1,00;erä;0,000;0,00;0,00;;;20 000,00;20 000,00;0,00;0,00;;54204.31
6300;Laitteet ja kodinkoneet;63001021;Kodinkoneet;43,00;erä;0,000;0,00;0,00;807,70;34 731,00;0,00;0,00;0,00;0,00;0,00;34 731,00
3020;Rungon teräsosat;30205281;PETRA 265-1200;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;-3 663,88;0,00;0,00;0,00
3120;Ontelo-, Massiivi- ja tulppalaatat;31202210;Syvennettyjen onteloiden m2;0,00;m2;0,000;NaN;NaN;0,00;;0,00;;0,00;0,00;NaN;0,00
3020;Rungon teräsosat;30202022;Teräspilarin Muut reiät ja työstöt;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;369799902.77
5540;Julkisivumuuraus;55401024;Aukon ylityspalkit Amutek;20,00;jm;0,000;0,00;;55,22;1 104,40;0,00;0,00;0,00;;0,00;1 104,40
3150;Porraselementit;31505073;Porraselementtien jälkityöt;5,00;kpl;0,000;0,00;0,00;0,00;;NaN;1 000,00;0,00;0,00;0,00;2 840,85
2500;VSS-rakenteet;2500150;VSS-SPK-kuilu PV  seinät 200mm + Laatat 150, Tässä molemmat Kuilut;0,00;m2;0,000;0,00;;NaN;NaN;0,00;NaN;NaN;0,00;;0,00
3110;Väliseinäelementit;31101010;V-seinäelementtien asennus;119,00;kpl;38,000;100,32;11 938,08;41,95;4 992,05;0,00;;7,50;892,50;0,00;32 058,02
4330;Metalliovet, -ikkunat ja lasiseinät;43303030;Alumiini-ulko-ovi 10+2 x 23M, Lasiaukolla;1,00;kpl;;0,00;;2 000,00;2 000,00;0,00;0,00;NaN;0,00;0,00;2 000,00
5245;Yleisten tilojen laatoitukset;52452011;Lattialaatoituksen pohjatyöt;40,97;m2;;12,80;524,35;10,00;NaN;;122,90;0,00;0,00;0,00;
4300;Puuovet;43002010;Huoneisto-ovet,  ASENNUS;43,00;kpl;;0,00;0,00;2,00;86,00;83,80;3 603,40;0,00;0,00;0,00;3 689,40
4300;Puuovet;43003051;Välioven kostean tilan kynnys;50,00;kpl;;;0,00;869,55;1 000,00;20,00;1 000,00;0,00;;0,00;2 000,00
2600;Maanvaraiset alapohjat;26001074;Radonkaistan asennus Muurin ja MV-laatan liittymään;286,00;jm;0,000;NaN;NaN;0,00;0,00;9,90;2 831,40;0,00;0,00;0,00;2 831,40
3700;Ullakko- ja kattorakenteet;37007211;Palokatkoseinän Kulkuluukku EI30, 9x9;0,00;kpl;0,000;0,00;0,00;NaN;NaN;0,00;0,00;0,00;0,00;529,06;-884.68
2250;Sokkelielementit / sokkelikuorielementit;22501871;Kuorielementtien kiinnitys Weldat ja Lattateräkset;55,00;kpl;NaN;0,00;0,00;26,96;NaN;13,50;742,50;;0,00;NaN;
4330;Metalliovet, -ikkunat ja lasiseinät;43303041;Alumiini ulko-ovi, ASENNUS;2,00;kpl;0,000;;0,00;0,00;0,00;;373,60;0,00;;;373,60
5640;Tasoitelattiat (pumpputasoite);56402019;Ovien tukkolauta + kittaus;1 933,74;m2;38,000;1,90;3 674,10;0,70;1 353,62;0,00;0,00;0,00;NaN;0,00;-5028
2250;Sokkelielementit / sokkelikuorielementit;22501671;Reunavalukiinnityksen muotitus;17,83;m2;38,000;;443,90;28,94;516,11;0,00;0,00;0,00;0,00;0,00;960,01
4520;Kipsialakatot;45202501;Alaslaskun roikotus + vaakakoolaus Teräsranka 66 k400;23,19;m2;0,000;0,00;NaN;11,42;264,94;0,00;0,00;0,00;;0,00;264,94
1200;Maankaivu;1200505;Rakennuksen sisätäyttö;0,00;erä;0,000;227,77;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00
5560;Julkisivun puu- ja levyverhoukset;55602830;Kattopinnan Luja-A levytys 12mm;16,01;m2;NaN;15,96;255,49;37,37;NaN;0,00;0,00;0,00;0,00;0,00;426,07
2500;VSS-rakenteet;25002013;Perusmuurikorotuksen betonointi;0,62;m3;38,000;14,82;9,21;NaN;102,56;0,00;0,00;0,00;NaN;0,00;111,78
2830;Sisäänkäyntitasot ja -katokset;28303273;Ulkop.-laatan suodatinkangas;14,49;m2;38,000;0,22;;0,35;5,00;;0,00;NaN;NaN;;261762861.27
3020;Rungon teräsosat;30202024;Teräspilarin asennus hitsattuna;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;8.166e+02;0,00;0,00;
2830;Sisäänkäyntitasot ja -katokset;28303706;Kiinnityslatat IPE k xxx lisähintavaraus;21,00;kpl;;0,00;;NaN;0,00;10,00;210,00;NaN;;0,00;380957934.73
4700;Kaiteet ja parvekelasitukset;47001020;Sisäpuoliset Käsijohteet asennettuna;58,00;jm;NaN;;0,00;;0,00;110,00;6 380,00;NaN;0,00;;6 380,00
5690;Mattolattiat pohjatöineen;5690105;Muovimatto esim. Upofloor Estrad, VAALEAN HARMAA;0,00;erä;NaN;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-424.36
2830;Sisäänkäyntitasot ja -katokset;2830370;PS: Teräspalkki IPE100, L=3000;1,00;kpl;0,000;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1500;Salaojat, putkijohdot, kaivot ja viemäri;1500110;Rakennusten putkistojen kaivuu ja täyttötyöt;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;NaN;0,00;0,00;0,00;0,00
1800;Ulkovarusteet;18001022;Molok- jäteastiaston asennus;1,00;erä;0,000;0,00;0,00;;0,00;1 600,00;1 600,00;;0,00;NaN;1 600,00
1200;Maankaivu;1200101;Tilavuuskaivu, kuljetus ja vastaanottomaksu;0,00;erä;0,000;NaN;0,00;;NaN;0,00;0,00;NaN;0,00;0,00;-715,96
8150;Työmaa-alue , aitaukset ja mainoskilvet;81501501;Työmaan aitaus;260,00;jm;0,000;0,00;;0,00;0,00;0,00;0,00;NaN;4 780,00;354.17;13 895,72
5660;Parketti ja laminaatti;56603011;Välioven kohdalle lattiasaumalista;61,00;kpl;NaN;0,00;0,00;;915,00;15,00;915,00;0,00;0,00;0,00;4154,94
3120;Ontelo-, Massiivi- ja tulppalaatat;31200390;PS:  Ontelokentän alapinnan Viemäreiden Painelaatikot;6,00;m2;0,000;;;0,00;0,00;NaN;0,00;NaN;;0,00;0,00
5180;Bitumikatteet;51803172;Tippapelti pural 0,5mm asennettuna LL=178-208mm;17,00;jm;0,000;0,00;0,00;0,00;0,00;13,00;221,00;0,00;1.235e+03;0,00;221,00
4100;Puu- ja muovi-ikkunat, parvekeovet;41006111;RPO-Paketti10x20  ICCUNA;5,00;kpl;;0,00;0,00;NaN;;0,00;0,00;0,00;;-4482,51;5242.91
4100;Puu- ja muovi-ikkunat, parvekeovet;41009001;Ikkunoiden ja terassiovien haalaus;190,00;kpl;;0,00;;;0,00;15,00;2 850,00;0,00;0,00;0,00;2 850,00
2500;VSS-rakenteet;25001019;MV-laatan eristys, 1 m reuna-alue 100ER;0,00;m2;0,000;0,00;;0,00;0,00;;0,00;;0,00;0,00;0,00
6200;Varusteet;62001020;Parvekkeen oskarinoksa;43,00;kpl;36,000;18,00;;-2669,61;2 150,00;0,00;0,00;NaN;NaN;0,00;2 924,00
3020;Rungon teräsosat;30202911;Teräsputkipalkki Suorakaide,  ( Sivu x Sivu x Paksuus) L=xxxx;0,00;kg;0,000;0,00;0,00;0,00;0,00;NaN;0,00;NaN;0,00;0,00;0,00
3500;Ulkoseinät;3500921;US-kipsilevytys+ 50mm villa;843,42;m2;0,000;0,00;0,00;0,00;NaN;10,50;NaN;0,00;0,00;;
5530;Julkisivun pellitykset ja metalliverhoukset;55302830;Sisäänkäynnin kattopellitykset;20,00;jm;0,000;0,00;0,00;;0,00;19,45;;0,00;0,00;0,00;559,67
0100;Tontin tai osakekannan hankinta/vuokra;0100101;TONTIN KUSTANNUKSET;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00
4330;Metalliovet, -ikkunat ja lasiseinät;43308992;Metallisen välioven pellitykset;104,00;jm;0,000;0,00;0,00;0,00;6.214e+02;6,90;717,60;;0,00;;-717,60
9120;Kopiot, IT-, AV-, tstotarvike, Huoltokirja;91201204;Työmaan kopiosarjat;3 307,50;brm2;-1.250e+02;0,00;0,00;0,90;;0,00;0,00;NaN;;3946,05;-2977.00
2200;Anturat ja perusmuurit;22005073;PV-MP-Seinien kasettimuottityö+purku+puhdistus;941,05;m2;38,000;19,00;17 880,04;0,00;;0,00;0,00;8,76;;;-26119.88
2830;Sisäänkäyntitasot ja -katokset;28304014;Katon syöskytorvet;0,00;kpl;0,000;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2500;VSS-rakenteet;25001505;Kuilulaatan betonointi;0,00;m3;0,000;0,00;0,00;0,00;NaN;0,00;0,00;;0,00;0,00;0,00
2600;Maanvaraiset alapohjat;26001072;MV-laatan raudoitus;1 626,53;kg;0,820;0,85;1 387,11;0,83;NaN;0,00;;0,00;0,00;NaN;2 728,99
4300;Puuovet;4300306;Löylyhuoneen lasiovi, korkea pystyvedin,  M8x19;0,00;erä;0,000;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;;0,00
6200;Varusteet;6200102;Parvekkeiden varusteet;0,00;erä;NaN;0,00;;0,00;0,00;0,00;NaN;0,00;0,00;0,00;43542864.41
8700;Työmaan jätemaksut ja kuljetukset;87007004;Työmaan Kuorma-autokuljetukset;11,00;kk;;0,00;0,00;NaN;0,00;260,00;2 860,00;0,00;0,00;0,00;2 860,00
8150;Työmaa-alue , aitaukset ja mainoskilvet;81501504;Vuokra-alueet, varastoalue tms.;0,00;erä;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4100;Puu- ja muovi-ikkunat, parvekeovet;41003071;IK - (MEK)- Kiinteät ikkunat ASENNUS. sis. vaahdotukset;0,00;kpl;0,000;0,00;;0,00;0,00;1963.76;;;NaN;0,00;0,00
4100;Puu- ja muovi-ikkunat, parvekeovet;4100611;RPO-Paketti10x20  ICCUNA;0,00;kpl;0,000;NaN;0,00;0,00;0,00;0,00;-2064.55;0,00;-4 318,38;NaN;418831705.36
3600;Kattotasot ja parvekkeet;3600601;Parvekkeiden kevyet väliseinät [ EI15 ] Luja-A;20,40;m2;1.483e+03;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,15;0,15
3700;Ullakko- ja kattorakenteet;37007324;SP-ikkunakorokkeen OSB-levytys;9,00;m2;;7,98;;NaN;88,65;;0,00;0,00;;0,00;160,47
0100;Tontin tai osakekannan hankinta/vuokra;01001010;Tontin vuokrakustannukset;1,00;erä;0,000;0,00;;0,00;0,00;0,00;0,00;;0,00;19 555,00;19 555,00
2200;Anturat ja perusmuurit;22004272;Perusmuurikorotuksen betonointi;3,73;m3;38,000;14,82;55,27;144,90;540,43;0,00;0,00;NaN;0,00;0,00;595,70
2200;Anturat ja perusmuurit;2200101;PS: Nauha-antura (300 x 800);24,40;jm;0,000;0,00;0,00;NaN;0,00;0,00;0,00;;0,00;NaN;0,00
1800;Ulkovarusteet;18001013;Tomutusteline, kuivatustelineet;0,00;erä;0,000;0,00;0,00;0,00;0,00;;0,00;;0,00;4036,38;0,00
3700;Ullakko- ja kattorakenteet;3700730;Ullakon kulkusilta;0,00;erä;NaN;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;;
3600;Kattotasot ja parvekkeet;36007702;Seinävierustan vedeneristemassaus ElaProof;0,00;jm;0,000;0,00;;NaN;0,00;0,00;0,00;;0,00;0,00;-602,51
5180;Bitumikatteet;51803171;Vesikate VE20...40, kumibitumikermein;26,54;m2;0,000;0,00;0,00;0,00;0,00;21,00;557,34;0,00;0,00;0,00;37077384.40
4700;Kaiteet ja parvekelasitukset;47001151;Käsijohde ulkoportaisiin. Maasta kannakoitu;10,00;jm;0,000;0,00;0,00;0,00;0,00;160,00;1 600,00;0,00;0,00;0,00;3 194,33
3720;Kattoristikot;37207010;Kattoristikot;47,00;kpl;0,000;0,00;0,00;211,04;NaN;0,00;0,00;;0,00;0,00;644687817.73
4300;Puuovet;43003012;Väliovi VO 7/10x21, laakaovi, karmi 92mm;61,00;kpl;0,000;0,00;0,00;80,00;4 880,00;0,00;;0,00;0,00;;3709.83
4300;Puuovet;4300305;Kostean tilan väliovi VO-K 9 x 21;0,00;erä;0,000;;NaN;NaN;4 130,86;0,00;;0,00;0,00;0,00;-83.15
4330;Metalliovet, -ikkunat ja lasiseinät;43308101;Teräksinen väliovi [EI60] 10x21;2,00;kpl;0,000;0,00;;510,00;1 020,00;NaN;0,00;0,00;-909.67;-3784,06;2 241,94
2830;Sisäänkäyntitasot ja -katokset;28303702;Teräspalkin IPE Päätylaput työstöineen;0,00;kg;0,000;NaN;;0,00;0,00;0,00;-3 928,36;NaN;0,00;0,00;0,00
1200;Maankaivu;12005052;Sisätäytön tiivistäminen;2 870,93;m2;0,000;0,00;;0,00;0,00;NaN;6 265,80;0,00;0,00;0,00;6 265,80
2250;Sokkelielementit / sokkelikuorielementit;22501373;AS- Elementtien pystysaumasbetonit;1,00;kpl;0,000;0,00;0,00;7,40;7,40;0,00;NaN;0,00;0,00;0,00;7,40
3020;Rungon teräsosat;30202023;Teräspilarin asennus, sis. juotos + hitsaus;0,00;kpl;0,000;;0,00;;0,00;0,00;0,00;0,00;0,00;NaN;0,00
3550;Ulkoseinät elementteinä, puu;35502079;Puuelementtien asennuksen nosturikulut;0,00;kpl;0,000;0,00;0,00;;0,00;0,00;;NaN;;0,00;-478.89
5710;Saunat;57101014;Saunan AL-paperi + Koolaukset ALIURAKKANA;301,50;m2;0,000;NaN;0,00;7,41;2 234,72;;4 432,05;0,00;0,00;0,00;-6 666,77
2830;Sisäänkäyntitasot ja -katokset;28304012;Kattopintojen OSB-levytys;16,01;m2;38,000;5,02;80,30;10,58;NaN;0,00;;NaN;0,00;;249,67
4520;Kipsialakatot;45202507;Alaslaskettu kipsikatto, EI30 Otsapinnat ALIURAKKANA;0,00;jm;0,000;0,00;0,00;0,00;;0,00;0,00;;0,00;;0,00
2200;Anturat ja perusmuurit;22002073;Pilarianturan yläpinnan bitumisively;1,00;m2;38,000;;;6,40;6,40;0,00;NaN;0,00;0,00;;-12
4100;Puu- ja muovi-ikkunat, parvekeovet;4100607;Lisähinta, puuikkunan sälekaihtimet, PO-parvekeovet;75,90;m2;0,000;0,00;0,00;25,00;1 897,50;0,00;;0,00;;0,00;1 897,50
2830;Sisäänkäyntitasot ja -katokset;28303703;Teräspalkin IPE Muut reiät ja työstöt;0,00;kpl;0,000;NaN;0,00;0,00;0,00;0,00;0,00;;0,00;;0,00
